entity,count
Merkel,198
Trump,55
Schulz,55
Merkels,54
Erdogan,21
Maischberger,18
Lindner,17
Murksel,17
Claudia Roth,17
Gabriel,16
Steinmeier,15
Danke,15
Hitler,15
Seehofer,14
Islam,14
Teufel,13
Du,12
Angela Merkel,12
Martin Schulz,11
hartaberfair,11
Heiko Maas,11
Nahles,10
Maas,10
Putin,10
Lieber,9
Stegner,9
Obama,9
Besser,8
Höcke,8
Nee,7
Marx,7
Gauland,7
Mohammed,7
Altmaier,7
Bedford Strohm,7
Gauck,7
Sohn,6
Herzlichen Glückwunsch,6
Franziskus,6
LBR Merkel,6
Yvonne Willicks,6
Volker Beck,6
Özdemir,6
Ach,5
ekdsynode,5
Palmer,5
Kard Marx,5
Donald Trump,5
Hillary,5
Gedeon,5
Böhmermann,5
Anne Will,5
Bin,5
Schäuble,5
Luther,5
Putins,5
Andrea Nahles,5
Jahren,5
Sagt,5
Orban,4
Laßt,4
IM Erika,4
Schwaetzer,4
Moin moin,4
Marcon,4
Rainer,4
Kahane,4
Wolfgang Schäuble,4
Westerwelle,4
LBR,4
Kühnert,4
annewill,4
Roth,4
Gott,4
Honecker,4
Muschpoke,4
Göring,4
Kohl,4
Magaldi,4
Konrad Adenauer,4
Maria,4
Göbbels,3
Chebli,3
Dieter Nuhr,3
Dobrindt,3
Basta,3
Niemals,3
Jesus,3
Martin,3
Illner,3
Klitschko,3
Will,3
Schrifttext Jes,3
Schwesig,3
Scholz,3
Fr Merkel,3
Navid Kermani,3
Schlafmichel,3
Schmonzes,3
Allah,3
Dr Matthias Ring,3
Weidel,3
Ne,3
LBR Trump,3
Ben Salomo,3
Gröning,3
Hadithe,3
Uli Hoeneß,3
Trittin,3
Bruder,3
Helmut Kohl,3
Wagenknecht,3
Sorry,3
Storch,3
visioneurope,3
Yücel,3
Poggenburg,3
z B,3
Dietrich Bonhoeffer,3
Boris Palmer,3
Anette Kahane,3
Soros,3
Göring Eckardt,3
Friedman,3
Groening,3
Willy Brandt,3
Norbert Lammert,3
Netanyahu,3
aksynode,3
Söder,3
Sawsan,3
Martin Luther,3
Adolf,3
Gottes,3
Hi,3
lanz,3
Demirtas,3
Hermann Gemeiner,3
Laschet,3
kotzen,3
Na,3
Deniz Yücel,3
Andreas Hollstein,2
Antifantenbrut,2
Hammer,2
Fikentscher,2
Mich,2
sat,2
Franz Josef Strauß,2
