Strategy,Model,Train,Test,Accuracy,Precision_macro,Recall_macro,F1_macro,Class0_Precision,Class0_Recall,Class0_F1,Class0_Support,Class1_Precision,Class1_Recall,Class1_F1,Class1_Support,Macro_F1,Weighted_F1,Full_Report_JSON
X_LENGTH,deepset/gbert-base,GERMEVAL (train),GERMEVAL (test),0.7939964685108888,0.7838556625867172,0.7385494352467894,0.7523109040683241,0.8042452830188679,0.9101423487544484,0.8539232053422371,2248.0,0.7634660421545667,0.5669565217391305,0.6506986027944112,1150.0,0.7523109040683241,0.7851450143681348,"{""0"": {""precision"": 0.8042452830188679, ""recall"": 0.9101423487544484, ""f1-score"": 0.8539232053422371, ""support"": 2248.0}, ""1"": {""precision"": 0.7634660421545667, ""recall"": 0.5669565217391305, ""f1-score"": 0.6506986027944112, ""support"": 1150.0}, ""accuracy"": 0.7939964685108888, ""macro avg"": {""precision"": 0.7838556625867172, ""recall"": 0.7385494352467894, ""f1-score"": 0.7523109040683241, ""support"": 3398.0}, ""weighted avg"": {""precision"": 0.7904441861989895, ""recall"": 0.7939964685108888, ""f1-score"": 0.7851450143681348, ""support"": 3398.0}}"
X_LENGTH,deepset/gbert-base,HASOC (train),HASOC (test),0.8282352941176471,0.5761762509335324,0.5168067226890756,0.5019184767776012,0.8446601941747572,0.9747899159663865,0.9050715214564369,714.0,0.3076923076923077,0.058823529411764705,0.09876543209876543,136.0,0.5019184767776012,0.7760625471592095,"{""0"": {""precision"": 0.8446601941747572, ""recall"": 0.9747899159663865, ""f1-score"": 0.9050715214564369, ""support"": 714.0}, ""1"": {""precision"": 0.3076923076923077, ""recall"": 0.058823529411764705, ""f1-score"": 0.09876543209876543, ""support"": 136.0}, ""accuracy"": 0.8282352941176471, ""macro avg"": {""precision"": 0.5761762509335324, ""recall"": 0.5168067226890756, ""f1-score"": 0.5019184767776012, ""support"": 850.0}, ""weighted avg"": {""precision"": 0.7587453323375654, ""recall"": 0.8282352941176471, ""f1-score"": 0.7760625471592095, ""support"": 850.0}}"
X_LENGTH,deepset/gbert-base,GAHD (train),GAHD (test),0.7684146711124583,0.7641898635909947,0.7688106522229745,0.7653831747027026,0.819718309859155,0.7661927330173776,0.7920522591181274,1899.0,0.7086614173228346,0.7714285714285715,0.7387140902872777,1400.0,0.7653831747027026,0.7694170859252842,"{""0"": {""precision"": 0.819718309859155, ""recall"": 0.7661927330173776, ""f1-score"": 0.7920522591181274, ""support"": 1899.0}, ""1"": {""precision"": 0.7086614173228346, ""recall"": 0.7714285714285715, ""f1-score"": 0.7387140902872777, ""support"": 1400.0}, ""accuracy"": 0.7684146711124583, ""macro avg"": {""precision"": 0.7641898635909947, ""recall"": 0.7688106522229745, ""f1-score"": 0.7653831747027026, ""support"": 3299.0}, ""weighted avg"": {""precision"": 0.772588982926494, ""recall"": 0.7684146711124583, ""f1-score"": 0.7694170859252842, ""support"": 3299.0}}"
X_LENGTH,deepset/gbert-base,GERMEVAL (full),HASOC (full),0.8173056328978368,0.627571355007574,0.6895275792285189,0.6459878381060646,0.9316802954365603,0.8560349006301503,0.892257168119237,4126.0,0.3234624145785877,0.5230202578268877,0.39971850809289233,543.0,0.6459878381060646,0.8349754177670621,"{""0"": {""precision"": 0.9316802954365603, ""recall"": 0.8560349006301503, ""f1-score"": 0.892257168119237, ""support"": 4126.0}, ""1"": {""precision"": 0.3234624145785877, ""recall"": 0.5230202578268877, ""f1-score"": 0.39971850809289233, ""support"": 543.0}, ""accuracy"": 0.8173056328978368, ""macro avg"": {""precision"": 0.627571355007574, ""recall"": 0.6895275792285189, ""f1-score"": 0.6459878381060646, ""support"": 4669.0}, ""weighted avg"": {""precision"": 0.8609451681489443, ""recall"": 0.8173056328978368, ""f1-score"": 0.8349754177670621, ""support"": 4669.0}}"
X_LENGTH,deepset/gbert-base,GERMEVAL (full),GAHD (full),0.6123135685703892,0.5986748044522253,0.5780019014226135,0.5698467366700677,0.6272626523827115,0.804739336492891,0.7050031139713515,6330.0,0.5700869565217391,0.35126446635233605,0.434690359368784,4666.0,0.5698467366700677,0.5902996478949983,"{""0"": {""precision"": 0.6272626523827115, ""recall"": 0.804739336492891, ""f1-score"": 0.7050031139713515, ""support"": 6330.0}, ""1"": {""precision"": 0.5700869565217391, ""recall"": 0.35126446635233605, ""f1-score"": 0.434690359368784, ""support"": 4666.0}, ""accuracy"": 0.6123135685703892, ""macro avg"": {""precision"": 0.5986748044522253, ""recall"": 0.5780019014226135, ""f1-score"": 0.5698467366700677, ""support"": 10996.0}, ""weighted avg"": {""precision"": 0.6030009393154782, ""recall"": 0.6123135685703892, ""f1-score"": 0.5902996478949983, ""support"": 10996.0}}"
X_LENGTH,deepset/gbert-base,GERMEVAL (full),HASOC+GAHD (HASOC+GAHD),0.67341206511331,0.6182669042737603,0.5970748093134668,0.6002128403218294,0.7241437206178644,0.8249808722264729,0.7712804005722461,10456.0,0.5123900879296562,0.36916874640046077,0.4291452800714126,5209.0,0.6002128403218294,0.6575120097207401,"{""0"": {""precision"": 0.7241437206178644, ""recall"": 0.8249808722264729, ""f1-score"": 0.7712804005722461, ""support"": 10456.0}, ""1"": {""precision"": 0.5123900879296562, ""recall"": 0.36916874640046077, ""f1-score"": 0.4291452800714126, ""support"": 5209.0}, ""accuracy"": 0.67341206511331, ""macro avg"": {""precision"": 0.6182669042737603, ""recall"": 0.5970748093134668, ""f1-score"": 0.6002128403218294, ""support"": 15665.0}, ""weighted avg"": {""precision"": 0.6537303996684308, ""recall"": 0.67341206511331, ""f1-score"": 0.6575120097207401, ""support"": 15665.0}}"
X_LENGTH,deepset/gbert-base,HASOC (full),GERMEVAL (full),0.7159509932199357,0.7702226082740788,0.5888713267381309,0.570081615451429,0.7056237879767292,0.9800682348716107,0.8205051112447385,5569.0,0.8348214285714286,0.19767441860465115,0.31965811965811963,2838.0,0.570081615451429,0.6514312725242883,"{""0"": {""precision"": 0.7056237879767292, ""recall"": 0.9800682348716107, ""f1-score"": 0.8205051112447385, ""support"": 5569.0}, ""1"": {""precision"": 0.8348214285714286, ""recall"": 0.19767441860465115, ""f1-score"": 0.31965811965811963, ""support"": 2838.0}, ""accuracy"": 0.7159509932199357, ""macro avg"": {""precision"": 0.7702226082740788, ""recall"": 0.5888713267381309, ""f1-score"": 0.570081615451429, ""support"": 8407.0}, ""weighted avg"": {""precision"": 0.7492377886913429, ""recall"": 0.7159509932199357, ""f1-score"": 0.6514312725242883, ""support"": 8407.0}}"
X_LENGTH,deepset/gbert-base,HASOC (full),GAHD (full),0.5799381593306657,0.5698138192513462,0.509994217183362,0.40758881512628614,0.5807303953949231,0.9721958925750395,0.7271223489100254,6330.0,0.5588972431077694,0.047792541791684524,0.08805528134254689,4666.0,0.40758881512628614,0.4559431076159316,"{""0"": {""precision"": 0.5807303953949231, ""recall"": 0.9721958925750395, ""f1-score"": 0.7271223489100254, ""support"": 6330.0}, ""1"": {""precision"": 0.5588972431077694, ""recall"": 0.047792541791684524, ""f1-score"": 0.08805528134254689, ""support"": 4666.0}, ""accuracy"": 0.5799381593306657, ""macro avg"": {""precision"": 0.5698138192513462, ""recall"": 0.509994217183362, ""f1-score"": 0.40758881512628614, ""support"": 10996.0}, ""weighted avg"": {""precision"": 0.5714658002174168, ""recall"": 0.5799381593306657, ""f1-score"": 0.4559431076159316, ""support"": 10996.0}}"
X_LENGTH,deepset/gbert-base,HASOC (full),GERMEVAL+GAHD (GERMEVAL+GAHD),0.638870277792094,0.6827270147276308,0.5401789690090602,0.47553759858612493,0.633427885664412,0.9758803260778217,0.768218054315107,11899.0,0.7320261437908496,0.1044776119402985,0.18285714285714286,7504.0,0.47553759858612493,0.5418330478944213,"{""0"": {""precision"": 0.633427885664412, ""recall"": 0.9758803260778217, ""f1-score"": 0.768218054315107, ""support"": 11899.0}, ""1"": {""precision"": 0.7320261437908496, ""recall"": 0.1044776119402985, ""f1-score"": 0.18285714285714286, ""support"": 7504.0}, ""accuracy"": 0.638870277792094, ""macro avg"": {""precision"": 0.6827270147276308, ""recall"": 0.5401789690090602, ""f1-score"": 0.47553759858612493, ""support"": 19403.0}, ""weighted avg"": {""precision"": 0.6715602017485632, ""recall"": 0.638870277792094, ""f1-score"": 0.5418330478944213, ""support"": 19403.0}}"
X_LENGTH,deepset/gbert-base,GAHD (full),GERMEVAL (full),0.5897466397050077,0.5687639657473643,0.5754304603999969,0.5666215363773373,0.7217573221757322,0.6195008080445322,0.6667310851289979,5569.0,0.4157706093189964,0.5313601127554616,0.4665119876256767,2838.0,0.5666215363773373,0.5991419571743857,"{""0"": {""precision"": 0.7217573221757322, ""recall"": 0.6195008080445322, ""f1-score"": 0.6667310851289979, ""support"": 5569.0}, ""1"": {""precision"": 0.4157706093189964, ""recall"": 0.5313601127554616, ""f1-score"": 0.4665119876256767, ""support"": 2838.0}, ""accuracy"": 0.5897466397050077, ""macro avg"": {""precision"": 0.5687639657473643, ""recall"": 0.5754304603999969, ""f1-score"": 0.5666215363773373, ""support"": 8407.0}, ""weighted avg"": {""precision"": 0.6184636037164225, ""recall"": 0.5897466397050077, ""f1-score"": 0.5991419571743857, ""support"": 8407.0}}"
