Strategy,Model,Train,Test,Accuracy,Precision_macro,Recall_macro,F1_macro,Class0_Precision,Class0_Recall,Class0_F1,Class0_Support,Class1_Precision,Class1_Recall,Class1_F1,Class1_Support,Macro_F1,Weighted_F1,Full_Report_JSON
PER_ONLY,deepset/gbert-base,GERMEVAL (train),GERMEVAL (test),0.8087110064743968,0.8054543960497369,0.753068234565991,0.7687869138020196,0.8118657298985168,0.9252669039145908,0.8648648648648649,2248.0,0.7990430622009569,0.5808695652173913,0.6727089627391742,1150.0,0.7687869138020196,0.7998327025798312,"{""0"": {""precision"": 0.8118657298985168, ""recall"": 0.9252669039145908, ""f1-score"": 0.8648648648648649, ""support"": 2248.0}, ""1"": {""precision"": 0.7990430622009569, ""recall"": 0.5808695652173913, ""f1-score"": 0.6727089627391742, ""support"": 1150.0}, ""accuracy"": 0.8087110064743968, ""macro avg"": {""precision"": 0.8054543960497369, ""recall"": 0.753068234565991, ""f1-score"": 0.7687869138020196, ""support"": 3398.0}, ""weighted avg"": {""precision"": 0.8075260983940453, ""recall"": 0.8087110064743968, ""f1-score"": 0.7998327025798312, ""support"": 3398.0}}"
PER_ONLY,deepset/gbert-base,HASOC (train),HASOC (test),0.8388235294117647,0.6680649100003939,0.5439425770308123,0.5451367324060294,0.8522588522588522,0.9775910364145658,0.9106327462491846,714.0,0.4838709677419355,0.11029411764705882,0.17964071856287425,136.0,0.5451367324060294,0.7936740218193749,"{""0"": {""precision"": 0.8522588522588522, ""recall"": 0.9775910364145658, ""f1-score"": 0.9106327462491846, ""support"": 714.0}, ""1"": {""precision"": 0.4838709677419355, ""recall"": 0.11029411764705882, ""f1-score"": 0.17964071856287425, ""support"": 136.0}, ""accuracy"": 0.8388235294117647, ""macro avg"": {""precision"": 0.6680649100003939, ""recall"": 0.5439425770308123, ""f1-score"": 0.5451367324060294, ""support"": 850.0}, ""weighted avg"": {""precision"": 0.7933167907361456, ""recall"": 0.8388235294117647, ""f1-score"": 0.7936740218193749, ""support"": 850.0}}"
PER_ONLY,deepset/gbert-base,GAHD (train),GAHD (test),0.7762958472264323,0.7721590568887173,0.7769702098849018,0.7733990725476794,0.8274111675126904,0.7725118483412322,0.7990196078431373,1899.0,0.7169069462647444,0.7814285714285715,0.7477785372522214,1400.0,0.7733990725476794,0.7772743823726062,"{""0"": {""precision"": 0.8274111675126904, ""recall"": 0.7725118483412322, ""f1-score"": 0.7990196078431373, ""support"": 1899.0}, ""1"": {""precision"": 0.7169069462647444, ""recall"": 0.7814285714285715, ""f1-score"": 0.7477785372522214, ""support"": 1400.0}, ""accuracy"": 0.7762958472264323, ""macro avg"": {""precision"": 0.7721590568887173, ""recall"": 0.7769702098849018, ""f1-score"": 0.7733990725476794, ""support"": 3299.0}, ""weighted avg"": {""precision"": 0.7805163782592426, ""recall"": 0.7762958472264323, ""f1-score"": 0.7772743823726062, ""support"": 3299.0}}"
PER_ONLY,deepset/gbert-base,GERMEVAL (full),HASOC (full),0.815592203898051,0.6161521939515826,0.6645692901949547,0.6315150536304807,0.9247983346344002,0.8613669413475521,0.8919563307817794,4126.0,0.3075060532687651,0.4677716390423573,0.3710737764791819,543.0,0.6315150536304807,0.8313782140573608,"{""0"": {""precision"": 0.9247983346344002, ""recall"": 0.8613669413475521, ""f1-score"": 0.8919563307817794, ""support"": 4126.0}, ""1"": {""precision"": 0.3075060532687651, ""recall"": 0.4677716390423573, ""f1-score"": 0.3710737764791819, ""support"": 543.0}, ""accuracy"": 0.815592203898051, ""macro avg"": {""precision"": 0.6161521939515826, ""recall"": 0.6645692901949547, ""f1-score"": 0.6315150536304807, ""support"": 4669.0}, ""weighted avg"": {""precision"": 0.8530078637023933, ""recall"": 0.815592203898051, ""f1-score"": 0.8313782140573608, ""support"": 4669.0}}"
PER_ONLY,deepset/gbert-base,GERMEVAL (full),GAHD (full),0.6091305929428883,0.5955613245871618,0.571631627808712,0.5599512993784674,0.6217933349316711,0.819431279620853,0.7070610687022901,6330.0,0.5693293142426527,0.32383197599657093,0.4128415300546448,4666.0,0.5599512993784674,0.5822130905893479,"{""0"": {""precision"": 0.6217933349316711, ""recall"": 0.819431279620853, ""f1-score"": 0.7070610687022901, ""support"": 6330.0}, ""1"": {""precision"": 0.5693293142426527, ""recall"": 0.32383197599657093, ""f1-score"": 0.4128415300546448, ""support"": 4666.0}, ""accuracy"": 0.6091305929428883, ""macro avg"": {""precision"": 0.5955613245871618, ""recall"": 0.571631627808712, ""f1-score"": 0.5599512993784674, ""support"": 10996.0}, ""weighted avg"": {""precision"": 0.5995309558360945, ""recall"": 0.6091305929428883, ""f1-score"": 0.5822130905893479, ""support"": 10996.0}}"
PER_ONLY,deepset/gbert-base,GERMEVAL (full),HASOC+GAHD (HASOC+GAHD),0.6706670922438557,0.6122706573467472,0.587407985458045,0.5891999146495163,0.7173574066475175,0.8359793420045907,0.772139039795062,10456.0,0.507183908045977,0.33883662891149935,0.40626078950397054,5209.0,0.5891999146495163,0.6504754709622311,"{""0"": {""precision"": 0.7173574066475175, ""recall"": 0.8359793420045907, ""f1-score"": 0.772139039795062, ""support"": 10456.0}, ""1"": {""precision"": 0.507183908045977, ""recall"": 0.33883662891149935, ""f1-score"": 0.40626078950397054, ""support"": 5209.0}, ""accuracy"": 0.6706670922438557, ""macro avg"": {""precision"": 0.6122706573467472, ""recall"": 0.587407985458045, ""f1-score"": 0.5891999146495163, ""support"": 15665.0}, ""weighted avg"": {""precision"": 0.6474695193691629, ""recall"": 0.6706670922438557, ""f1-score"": 0.6504754709622311, ""support"": 15665.0}}"
PER_ONLY,deepset/gbert-base,HASOC (full),GERMEVAL (full),0.706435113595813,0.7761792774868088,0.5716665774533873,0.540813054738573,0.696589324204387,0.9865325911294667,0.8165873959571938,5569.0,0.8557692307692307,0.15680056377730797,0.26503871351995234,2838.0,0.540813054738573,0.6303978918823882,"{""0"": {""precision"": 0.696589324204387, ""recall"": 0.9865325911294667, ""f1-score"": 0.8165873959571938, ""support"": 5569.0}, ""1"": {""precision"": 0.8557692307692307, ""recall"": 0.15680056377730797, ""f1-score"": 0.26503871351995234, ""support"": 2838.0}, ""accuracy"": 0.706435113595813, ""macro avg"": {""precision"": 0.7761792774868088, ""recall"": 0.5716665774533873, ""f1-score"": 0.540813054738573, ""support"": 8407.0}, ""weighted avg"": {""precision"": 0.7503246132291315, ""recall"": 0.706435113595813, ""f1-score"": 0.6303978918823882, ""support"": 8407.0}}"
PER_ONLY,deepset/gbert-base,HASOC (full),GAHD (full),0.5804838122953802,0.5665915048296832,0.5122146427147006,0.41776930206084417,0.5819257562744536,0.963349131121643,0.7255636861205307,6330.0,0.5512572533849129,0.061080154307758254,0.10997491800115763,4666.0,0.41776930206084417,0.4643471353707131,"{""0"": {""precision"": 0.5819257562744536, ""recall"": 0.963349131121643, ""f1-score"": 0.7255636861205307, ""support"": 6330.0}, ""1"": {""precision"": 0.5512572533849129, ""recall"": 0.061080154307758254, ""f1-score"": 0.10997491800115763, ""support"": 4666.0}, ""accuracy"": 0.5804838122953802, ""macro avg"": {""precision"": 0.5665915048296832, ""recall"": 0.5122146427147006, ""f1-score"": 0.41776930206084417, ""support"": 10996.0}, ""weighted avg"": {""precision"": 0.5689120026838209, ""recall"": 0.5804838122953802, ""f1-score"": 0.4643471353707131, ""support"": 10996.0}}"
PER_ONLY,deepset/gbert-base,HASOC (full),GERMEVAL+GAHD (GERMEVAL+GAHD),0.6350564345719734,0.6675599990800997,0.5357404812287356,0.4684867714109412,0.6311662855276053,0.974199512564081,0.7660333718817115,11899.0,0.703953712632594,0.09728144989339019,0.17094017094017094,7504.0,0.4684867714109412,0.5358844578032019,"{""0"": {""precision"": 0.6311662855276053, ""recall"": 0.974199512564081, ""f1-score"": 0.7660333718817115, ""support"": 11899.0}, ""1"": {""precision"": 0.703953712632594, ""recall"": 0.09728144989339019, ""f1-score"": 0.17094017094017094, ""support"": 7504.0}, ""accuracy"": 0.6350564345719734, ""macro avg"": {""precision"": 0.6675599990800997, ""recall"": 0.5357404812287356, ""f1-score"": 0.4684867714109412, ""support"": 19403.0}, ""weighted avg"": {""precision"": 0.6593164093742185, ""recall"": 0.6350564345719734, ""f1-score"": 0.5358844578032019, ""support"": 19403.0}}"
PER_ONLY,deepset/gbert-base,GAHD (full),GERMEVAL (full),0.6564767455691686,0.5991028366515866,0.5813901605472052,0.5828973348903708,0.7104726016643115,0.8125336685221763,0.7580834310604792,5569.0,0.48773307163886165,0.350246652572234,0.4077112387202625,2838.0,0.5828973348903708,0.6398062475394211,"{""0"": {""precision"": 0.7104726016643115, ""recall"": 0.8125336685221763, ""f1-score"": 0.7580834310604792, ""support"": 5569.0}, ""1"": {""precision"": 0.48773307163886165, ""recall"": 0.350246652572234, ""f1-score"": 0.4077112387202625, ""support"": 2838.0}, ""accuracy"": 0.6564767455691686, ""macro avg"": {""precision"": 0.5991028366515866, ""recall"": 0.5813901605472052, ""f1-score"": 0.5828973348903708, ""support"": 8407.0}, ""weighted avg"": {""precision"": 0.63528112001661, ""recall"": 0.6564767455691686, ""f1-score"": 0.6398062475394211, ""support"": 8407.0}}"
